month,day,stone_name,color,meaning,source_note
10,20,ターコイズ（トルコ石）,,神聖な愛,monokotoba.com
10,21,トルマリン原石,,パワーの充電,monokotoba.com
10,22,虹の石（針鉄鋼）,,ラッキーな未来,monokotoba.com
10,23,スモーキークォーツ（フランス・モンブラン産）,,復活・生命力,monokotoba.com
10,24,インディゴライト（インディコライト、ブルートルマリン）,,芸術的センス,monokotoba.com
10,25,レッドスピネル,,好奇心,monokotoba.com
10,26,タイガーアイ,,透察能力,monokotoba.com
10,27,ラピスラズリ,,聖業,monokotoba.com
10,28,ヒマラヤ水晶クラスター（ガネーシュヒマール山産）,,完全さ,monokotoba.com
10,29,クモの巣ターコイズ（トルコ石）,,洞察力、創造,monokotoba.com
10,30,ピンファイアーオパール,,虹の輝き,monokotoba.com
10,31,ホークスアイ,,幸運,monokotoba.com
11,1,デュモルチェライト,,思慮,monokotoba.com
11,2,ブラックオニキス,,宗教的思案,monokotoba.com
11,3,ゴールデンサファイア,,輝く魅力・光明,monokotoba.com
11,4,セプタークォーツ（松茸水晶）,,誕生の喜び,monokotoba.com
11,5,ネフライトキャッツアイ,,成熟の魅力,monokotoba.com
11,6,クリスタル（ファントム入り）（ファントムクリスタル）,,氷の化石、浄化,monokotoba.com
11,7,アンバー（琥珀）,,抱擁、大きな愛,monokotoba.com
11,8,レッドトパーズ,,生命と繁栄,monokotoba.com
11,9,チャロアイト,,魅惑,monokotoba.com
11,10,化石,,祖先の守り,monokotoba.com
11,11,セラフィナイト（クリノクロア）,,天使の翼,monokotoba.com
11,12,クリスタル（日本・甲武信鉱山産）,,華麗なる変身,monokotoba.com
11,13,カンテラオパール,,虹の輝き,monokotoba.com
11,14,ラベンダージェード,,風の便り,monokotoba.com
11,15,レッドコーラル,,幼な心,monokotoba.com
11,16,アンモナイト,,フレキシブルな思考,monokotoba.com
11,17,アメシスト・イタリア産（アメジスト）,,チャンス・機会をつかむ,monokotoba.com
11,18,ウッドオパール（木化オパール）,,自然との調和,monokotoba.com
11,19,ブルートパーズ,,教養、学問,monokotoba.com
11,20,ヘソナイトガーネット,,安らぎ,monokotoba.com
11,21,メテオライト（ギベオン）,,魂の再来,monokotoba.com
11,22,イエローオパール,,隠された本能,monokotoba.com
11,23,ケシパール,,ひとときの休息,monokotoba.com
11,24,ピンクカルサイト（コバルトカルサイト）,,セクシーな美,monokotoba.com
11,25,レッドアンバー,,小悪魔の魅力,monokotoba.com
11,26,スカポライト（スキャポライト）,,未来指向,monokotoba.com
11,27,真珠母貝（マザーオブパール）,,快心,monokotoba.com
11,28,シャンパントパーズ（シャンパンカラートパーズ）,,保護、包容力,monokotoba.com
11,29,カラーチェンジトルマリン,,愛と性,monokotoba.com
11,30,ブラックスターサファイア,,中心的な存在,monokotoba.com
12,1,アイアンオパール,,思いやりのある行動,monokotoba.com
12,2,ブラックコーラル,,冷静な機知,monokotoba.com
12,3,ホワイトジェダイト（ジェダイド）,,浄化された魂,monokotoba.com
12,4,ソーダライト,,潜在意識と顕在意識,monokotoba.com
12,5,エンジェライト,,良い夢,monokotoba.com
12,6,パイライト原石,,厳しいおきて,monokotoba.com
12,7,カバンサイト,,自然美、素直な生き方,monokotoba.com
12,8,トルマレイテッドクォーツ,,積極的行動,monokotoba.com
12,9,スモーキークォーツ,,責任感、不屈の精神,monokotoba.com
12,10,ミーアシャム,,調和のとれた心,monokotoba.com
12,11,エメラルド・球,,健康と長寿、永遠,monokotoba.com
12,12,グリーンルチルクォーツ,,長寿,monokotoba.com
12,13,ネフライト,,成熟の魅力,monokotoba.com
12,14,ピンクサファイア,,かわいらしさ,monokotoba.com
12,15,ルビー原石,,情熱,monokotoba.com
12,16,アズロマラカイト（アジュライトマラカイト）,,変身、チャレンジ,monokotoba.com
12,17,ラブラドライト（スペクトロライト）,,思慕,monokotoba.com
12,18,シルバーダイヤモンド,,全能,monokotoba.com
12,19,ホワイトオパール,,虹の輝き,monokotoba.com
12,20,シルバーバロックパール,,快心,monokotoba.com
12,21,ブラックムーンストーン,,ふたりの出発,monokotoba.com
12,22,レピドクロサイト入りクォーツ,,強化,monokotoba.com
12,23,オレンジジェード,,ストレートな告白,monokotoba.com
12,24,トリカラートルマリン,,真・善・美,monokotoba.com
12,25,キャストライト（十字石）,,聖なる契約,monokotoba.com
12,26,ダイヤモンド原石,,誕生の秘密,monokotoba.com
12,27,スミソナイト（スミッソナイト）,,不滅の愛,monokotoba.com
12,28,インカローズ（ロードクロサイト）,,新しい愛とロマンを招く,monokotoba.com
12,29,ヒマラヤ水晶（ガネーシュヒマール山産）,,復活、生命力,monokotoba.com
12,30,モルダバイト,,自然のおきて,monokotoba.com
12,31,マーカサイト,,計画,monokotoba.com
